Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY/90,CrdR/90,Fls/90,Fld/90,Off/90,Crs/90,Int/90,TklW/90
162,Zian Flemming,nl NED,FW,Burnley,26,1998,19.7,0.25,0,2.59,1.32,0.15,0.3,0.3,0.51
163,Jack Fletcher,eng ENG,MF,Manchester Utd,18,2007,1.2,0,0,1.67,0.83,0,0,0.83,0.83
164,Tyler Fletcher,sct SCO,MF,Manchester Utd,18,2007,0.2,0,0,0,0,0,0,0,0
165,Phil Foden,eng ENG,MF,Manchester City,25,2000,23.2,0.17,0,0.78,1.34,0.13,5.13,0.43,0.69
166,Wesley Fofana,fr FRA,DF,Chelsea,24,2000,19.1,0.47,0.1,1.41,0.89,0.05,0.1,1.99,0.58
167,Lyle Foster,za RSA,FWMF,Burnley,24,2000,15.2,0.26,0,1.45,0.86,0.72,0.39,0.26,0.79
168,Tyler Fredricson,eng ENG,DF,Manchester Utd,20,2005,0,0,0,0,0,0,0,0,0
169,Jeremie Frimpong,nl NED,DFMF,Liverpool,24,2000,11.6,0.09,0,0.69,1.81,0.34,4.4,0.52,0.78
170,Niclas Fullkrug,de GER,FW,West Ham,32,1993,4.5,0,0,2.44,0.22,0.44,0,0.44,0.22
171,Kaye Furo,be BEL,FW,Brentford,18,2007,0,0,0,1,0,0,0,0,0
172,Cody Gakpo,nl NED,MFFW,Liverpool,26,1999,30.4,0.1,0,1.38,1.45,0.99,2.83,0.39,0.49
173,Conor Gallagher,eng ENG,MF,Tottenham,25,2000,13.2,0.15,0,1.89,1.74,0.08,1.74,1.36,1.06
174,Ben Gannon-Doak,sct SCO,MF,Bournemouth,19,2005,1.3,0,0,2.31,0.77,0,3.08,0.77,1.54
175,Andres Garcia,es ESP,DF,Aston Villa,22,2003,1,0,0,1,0,0,4,0,4
176,Alejandro Garnacho,ar ARG,MF,Chelsea,21,2004,14.1,0.14,0,0.64,1.63,0.14,4.33,0.28,0.92
177,James Garner,eng ENG,MFDF,Everton,24,2001,37.9,0.32,0,1.03,1.11,0,5.41,1.5,1.9
178,Lutsharel Geertruida,nl NED,DFMF,Sunderland,25,2000,18.8,0.11,0,0.8,0.37,0.05,0.48,1.06,1.17
179,Tyrique George,eng ENG,FW,Chelsea,19,2006,1.6,1.25,0,3.75,0.63,1.25,0.63,0,1.25
180,Tyrique George,eng ENG,MF,Everton,19,2006,2.4,0,0,1.25,0.42,0.83,4.17,0.83,1.25
181,Morgan Gibbs-White,eng ENG,MF,Nottingham,25,2000,34.4,0.03,0,0.76,1.19,0.15,1.22,0.35,0.47
182,Jamie Gittens,eng ENG,MF,Chelsea,20,2004,5.5,0,0,1.09,1.45,0.36,2.36,0.36,0.73
183,Wilfried Gnonto,it ITA,FW,Leeds United,21,2003,6,0.5,0,1.17,1.83,0,3.33,0.5,2.17
184,Angel Gomes,eng ENG,MFFW,Wolves,24,2000,5.1,0.2,0,1.37,1.76,0,2.35,0.2,0.98
185,Joao Gomes,br BRA,MF,Wolves,24,2001,31.4,0.32,0,2.2,1.56,0.03,0.99,1.15,2.17
186,Rodrigo Gomes,pt POR,MFFW,Wolves,22,2003,10.7,0,0,0.56,0.75,0.28,2.24,1.03,1.68
