Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
199,Marc Guehi,eng ENG,DF,Crystal Palace,25,2000,20,2,15,4,26.7,0.75,0.2,0.13,0.5,0,0
200,Marc Guehi,eng ENG,DF,Manchester City,25,2000,15,1,17,5,29.4,1.13,0.33,0.06,0.2,0,0
201,Evann Guessand,ci CIV,MF,Aston Villa,24,2001,6.5,0,8,5,62.5,1.22,0.77,0,0,0,0
202,Evann Guessand,ci CIV,MF,Crystal Palace,24,2001,3.7,1,3,1,33.3,0.82,0.27,0.33,1,0,0
203,Idrissa Gueye,sn SEN,MF,Everton,35,1989,23.3,2,29,7,24.1,1.25,0.3,0.07,0.29,0,0
204,Luis Guilherme,br BRA,FW,West Ham,19,2006,1.4,0,1,0,0,0.72,0,0,,0,0
205,Bruno Guimaraes,br BRA,MF,Newcastle,27,1997,27.3,9,42,23,54.8,1.54,0.84,0.21,0.39,2,2
206,Marc Guiu,es ESP,FW,Sunderland,19,2006,0.2,0,1,0,0,6,0,0,,0,0
207,Marc Guiu,es ESP,FW,Chelsea,19,2006,2.9,0,12,2,16.7,4.2,0.7,0,0,0,0
208,Angus Gunn,sct SCO,GK,Nottingham,29,1996,0.5,0,0,0,,0,0,,,0,0
209,Malo Gusto,fr FRA,DFMF,Chelsea,22,2003,25.1,2,12,6,50,0.48,0.24,0.17,0.33,0,0
210,Josko Gvardiol,hr CRO,DF,Manchester City,23,2002,15.2,2,17,6,35.3,1.12,0.39,0.12,0.33,0,0
211,Viktor Gyokeres,se SWE,FW,Arsenal,27,1998,24.7,14,55,22,40,2.23,0.89,0.25,0.64,3,3
212,Erling Haaland,no NOR,FW,Manchester City,25,2000,32.8,27,126,59,46.8,3.84,1.8,0.21,0.46,3,4
213,Lewis Hall,eng ENG,DF,Newcastle,20,2004,24.2,1,25,6,24,1.03,0.25,0.04,0.17,0,0
214,Jack Harrison,eng ENG,FW,Leeds United,28,1996,3,0,6,2,33.3,2.01,0.67,0,0,0,0
215,Quilindschy Hartman,nl NED,DF,Burnley,23,2001,20.3,0,9,3,33.3,0.44,0.15,0,0,0,0
216,Jorrel Hato,nl NED,DF,Chelsea,19,2006,12.8,0,4,0,0,0.31,0,0,,0,0
217,Kai Havertz,de GER,FWMF,Arsenal,26,1999,6.5,2,18,4,22.2,2.79,0.62,0.11,0.5,0,0
218,Ayden Heaven,eng ENG,DF,Manchester Utd,18,2006,10.3,0,3,0,0,0.29,0,0,,0,0
219,Jan Paul van Hecke,nl NED,DF,Brighton,25,2000,35.7,3,23,10,43.5,0.64,0.28,0.13,0.3,0,0
220,Hwang Hee-chan,kr KOR,FWMF,Wolves,29,1996,16.1,2,19,6,31.6,1.18,0.37,0.11,0.33,1,1
221,George Hemmings,eng ENG,MF,Aston Villa,18,2007,0.3,0,1,0,0,3.33,0,0,,0,0
222,Dean Henderson,eng ENG,GK,Crystal Palace,28,1997,37,0,0,0,,0,0,,,0,0
223,Jordan Henderson,eng ENG,MF,Brentford,35,1990,21.3,1,6,1,16.7,0.28,0.05,0.17,1,0,0
