Player,Squad,Pos,Min,90s,Gls90,Ast90,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,CrdY/90,CrdR/90,Fls/90,Fld/90,Off/90,Crs/90,Int/90,TklW/90,PrimaryPos
Tim Iroegbunam,Everton,MF,1487,16.5,0.0,0.12,8.3,0.73,0.06,0.0,0.0,0.55,0.0,1.76,1.21,0.0,0.18,1.33,2.67,MF
Wilson Isidor,Sunderland,FW,1165,12.9,0.46,0.0,39.5,3.32,1.31,0.14,0.35,0.08,0.0,1.09,0.54,0.78,0.0,0.16,0.62,FW
Alex Iwobi,Fulham,MF,2419,26.9,0.15,0.11,38.5,1.45,0.56,0.1,0.27,0.11,0.0,0.3,0.37,0.04,3.27,0.56,0.67,MF
Reece James,Chelsea,DFMF,1963,21.8,0.09,0.18,31.8,1.01,0.32,0.09,0.29,0.18,0.0,1.19,1.01,0.05,5.78,1.47,1.51,DF
Vitaly Janelt,Brentford,MF,1443,16.0,0.06,0.25,25.0,0.75,0.19,0.08,0.33,0.5,0.0,1.25,0.81,0.0,3.81,1.69,1.06,MF
Mathias Jensen,Brentford,MF,2247,25.0,0.12,0.04,27.6,1.16,0.32,0.1,0.38,0.12,0.0,0.8,0.6,0.08,4.96,0.84,0.92,MF
Igor Jesus,Nottingham,FW,2298,25.5,0.23,0.16,30.0,2.74,0.82,0.09,0.29,0.08,0.0,1.65,1.57,0.43,0.39,0.08,0.63,FW
Alex Jimenez,Bournemouth,DFMF,2317,25.7,0.04,0.0,19.0,0.82,0.16,0.05,0.25,0.39,0.0,1.36,0.78,0.0,1.98,1.05,1.75,DF
Raul Jimenez,Fulham,FW,2189,24.3,0.37,0.12,24.7,3.0,0.74,0.12,0.5,0.21,0.0,1.89,1.4,0.82,0.29,0.29,0.82,FW
Joao Pedro,Chelsea,FWMF,2661,29.6,0.51,0.17,38.4,2.47,0.95,0.21,0.54,0.17,0.0,1.28,1.86,0.54,0.61,0.2,0.57,FW
Joelinton,Newcastle,MF,1951,21.7,0.09,0.05,34.4,1.48,0.51,0.06,0.18,0.46,0.0,2.12,1.24,0.05,0.51,1.29,1.06,MF
